target,target_short,stage,seed,candidate,calibration,weight_mode,mae,rmse,r2,uses_test_labels_for_prediction,diagnostic_uses_conformer_labels
sterimol_burB5,BurB5,raw_formula_boltzmann,3,sum_pc_R4.4_touch_Bmax,raw,boltzmann,0.11428026178252752,0.19625825993377635,0.9302137961746183,False,False
sterimol_burB5,BurB5,calibrated_formula_boltzmann,3,sum_pc_R4.4_touch_Bmax,huber,boltzmann,0.09003325280243264,0.18094307077655697,0.9406804839187215,False,False
sterimol_burB5,BurB5,raw_formula_uniform,3,sum_pc_R4.4_touch_Bmax,raw,uniform,0.17236014277749975,0.2661331250114745,0.8716749170064824,False,False
sterimol_burB5,BurB5,calibrated_formula_uniform,3,sum_pc_R4.4_touch_Bmax,huber,uniform,0.160533420747449,0.26053829423912034,0.8770136769429135,False,False
sterimol_burB5,BurB5,oracle_conformer_labels_boltzmann_all_confs,4,sterimol_burB5_true_conf,none,boltzmann,0.00019853779519159913,0.0014496388930489183,0.9999948837469101,False,True
sterimol_burB5,BurB5,raw_formula_boltzmann,4,sum_pc_R4.4_touch_Bmax,raw,boltzmann,0.11366129172916689,0.19066579434917968,0.9114929370034531,False,False
sterimol_burB5,BurB5,calibrated_formula_boltzmann,4,sum_pc_R4.4_touch_Bmax,huber,boltzmann,0.09483617873096105,0.1760496918081136,0.9245424164200586,False,False
sterimol_burB5,BurB5,raw_formula_uniform,4,sum_pc_R4.4_touch_Bmax,raw,uniform,0.16943835993524176,0.24458281644782473,0.8543588033504421,False,False
sterimol_burB5,BurB5,calibrated_formula_uniform,4,sum_pc_R4.4_touch_Bmax,huber,uniform,0.1609541197615767,0.24023433862718274,0.8594915235863937,False,False
sterimol_burL,BurL,oracle_conformer_labels_boltzmann_all_confs,0,sterimol_burL_true_conf,none,boltzmann,0.00011818589912493654,0.000564141872282485,0.9999978293046351,False,True
sterimol_burL,BurL,raw_formula_boltzmann,0,sum_pc_R2.7_touch_Lpos,raw,boltzmann,2.6675904239841013,2.6707007264581795,-47.64885878055902,False,False
sterimol_burL,BurL,calibrated_formula_boltzmann,0,sum_pc_R2.7_touch_Lpos,isotonic,boltzmann,0.05271958357999775,0.09007479324232821,0.944661325097686,False,False
sterimol_burL,BurL,raw_formula_uniform,0,sum_pc_R2.7_touch_Lpos,raw,uniform,2.5997770869253816,2.6124337408615124,-45.54925946209777,False,False
sterimol_burL,BurL,calibrated_formula_uniform,0,sum_pc_R2.7_touch_Lpos,isotonic,uniform,0.1556036767129853,0.2232040091427028,0.6601977972032396,False,False
sterimol_burL,BurL,oracle_conformer_labels_boltzmann_all_confs,1,sterimol_burL_true_conf,none,boltzmann,9.305903342607257e-05,0.000532038514659509,0.9999981047095488,False,True
sterimol_burL,BurL,raw_formula_boltzmann,1,sum_pc_R2.7_touch_Lpos,raw,boltzmann,2.6743534021441757,2.6779721619631562,-47.01774336481237,False,False
sterimol_burL,BurL,calibrated_formula_boltzmann,1,sum_pc_R2.7_touch_Lpos,isotonic,boltzmann,0.06421278092588802,0.11502651642628112,0.9114098239557066,False,False
sterimol_burL,BurL,raw_formula_uniform,1,sum_pc_R2.7_touch_Lpos,raw,uniform,2.592949360482916,2.6056627593393253,-44.459645203795674,False,False
sterimol_burL,BurL,calibrated_formula_uniform,1,sum_pc_R2.7_touch_Lpos,isotonic,uniform,0.16464588570595493,0.23379005887642446,0.6340331814799391,False,False
sterimol_burL,BurL,oracle_conformer_labels_boltzmann_all_confs,2,sterimol_burL_true_conf,none,boltzmann,5.9901366331460813e-05,0.0004035184412058882,0.9999989379767514,False,True
sterimol_burL,BurL,raw_formula_boltzmann,2,sum_pc_R2.7_touch_Lpos,raw,boltzmann,2.672305587658803,2.675747418418437,-45.69791385259476,False,False
sterimol_burL,BurL,calibrated_formula_boltzmann,2,sum_pc_R2.7_touch_Lpos,isotonic,boltzmann,0.0542895455754584,0.09556336117516506,0.9404351458967471,False,False
sterimol_burL,BurL,raw_formula_uniform,2,sum_pc_R2.7_touch_Lpos,raw,uniform,2.5920693049205994,2.6039016743590704,-43.22383603859709,False,False
sterimol_burL,BurL,calibrated_formula_uniform,2,sum_pc_R2.7_touch_Lpos,isotonic,uniform,0.15640528591080072,0.2171421284841524,0.6924643758217573,False,False
sterimol_burL,BurL,oracle_conformer_labels_boltzmann_all_confs,3,sterimol_burL_true_conf,none,boltzmann,0.00011597822195102666,0.0007022193892218899,0.9999962326216507,False,True
sterimol_burL,BurL,raw_formula_boltzmann,3,sum_pc_R2.7_touch_Lpos,raw,boltzmann,2.668817413876105,2.672281313872109,-53.55793873623583,False,False
sterimol_burL,BurL,calibrated_formula_boltzmann,3,sum_pc_R2.7_touch_Lpos,isotonic,boltzmann,0.0536169212448791,0.08791318308176464,0.9409524865349157,False,False
sterimol_burL,BurL,raw_formula_uniform,3,sum_pc_R2.7_touch_Lpos,raw,uniform,2.5982021741555,2.607800171000023,-50.956779404772035,False,False
sterimol_burL,BurL,calibrated_formula_uniform,3,sum_pc_R2.7_touch_Lpos,isotonic,uniform,0.13785296832924268,0.19091658987089,0.721528380208768,False,False
sterimol_burL,BurL,oracle_conformer_labels_boltzmann_all_confs,4,sterimol_burL_true_conf,none,boltzmann,8.181300433323588e-05,0.0005723289689966151,0.9999970687450723,False,True
sterimol_burL,BurL,raw_formula_boltzmann,4,sum_pc_R2.7_touch_Lpos,raw,boltzmann,2.6749651830446326,2.6790280498945718,-63.226854682459134,False,False
sterimol_burL,BurL,calibrated_formula_boltzmann,4,sum_pc_R2.7_touch_Lpos,isotonic,boltzmann,0.05862251264283829,0.10825520100250262,0.8951279701233624,False,False
sterimol_burL,BurL,raw_formula_uniform,4,sum_pc_R2.7_touch_Lpos,raw,uniform,2.598908893704514,2.61195012106327,-60.05087477022872,False,False
sterimol_burL,BurL,calibrated_formula_uniform,4,sum_pc_R2.7_touch_Lpos,isotonic,uniform,0.15899922137813483,0.23177733625894983,0.5192668538232861,False,False
